City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,alice springs,-23.7,133.8833,15.75,39,0,3.09,AU,1670091992
121,impfondo,1.6381,18.0667,22.57,93,100,0.55,CG,1670092258
122,makakilo city,21.3469,-158.0858,23.89,80,20,3.09,US,1670092259
123,catuday,16.2923,119.8062,25.8,79,97,3.32,PH,1670092260
124,clyde river,70.4692,-68.5914,-15.87,72,48,11.32,CA,1670092261
125,wilmington,34.2257,-77.9447,23.95,64,100,5.66,US,1670092094
126,hasaki,35.7333,140.8333,2.22,67,92,5.98,JP,1670092079
127,hualmay,-11.0964,-77.6139,22.39,70,17,4.2,PE,1670092263
128,alpena,45.0617,-83.4327,0.66,65,100,8.75,US,1670092243
129,leningradskiy,69.3833,178.4167,-15.23,75,65,3.64,RU,1670092075
130,puerto escondido,15.85,-97.0667,31.46,58,0,4.12,MX,1670092167
131,abu kamal,34.4506,40.9171,15.85,64,100,3.19,SY,1670092265
132,deputatskiy,69.3,139.9,-25.32,87,100,5.02,RU,1670092266
133,emba,48.8264,58.1442,-13.72,77,6,6.05,KZ,1670092266
134,thinadhoo,0.5333,72.9333,27.11,75,100,6.71,MV,1670092267
135,sergeyevka,53.88,67.4158,-21.02,95,23,1.48,KZ,1670092268
136,shingu,33.7333,135.9833,9.57,76,28,1.85,JP,1670092269
137,kaitangata,-46.2817,169.8464,13.32,57,100,5.18,NZ,1670092270
138,mehamn,71.0357,27.8492,-4.03,80,4,6.17,NO,1670092140
139,wanning,18.8003,110.3967,21.06,93,100,3.87,CN,1670092103
140,aklavik,68.2191,-135.0107,0.0,86,100,11.32,CA,1670092272
141,salalah,17.0151,54.0924,25.05,69,20,2.06,OM,1670092079
142,sambava,-14.2667,50.1667,24.82,79,92,1.77,MG,1670092273
143,progreso,21.2833,-89.6667,30.06,68,0,8.13,MX,1670092226
144,talnakh,69.4865,88.3972,-22.11,99,100,1.9,RU,1670092274
145,victor harbor,-35.5667,138.6167,22.04,31,3,3.35,AU,1670092274
146,maloy,61.9353,5.1136,2.63,69,38,1.37,NO,1670092275
147,kalaleh,37.3807,55.4916,8.78,87,100,2.06,IR,1670092277
148,viedma,-40.8135,-62.9967,33.57,15,19,3.98,AR,1670092278
149,arraial do cabo,-22.9661,-42.0278,24.98,78,75,10.29,BR,1670092278
150,avarua,-21.2078,-159.775,27.03,89,75,4.12,CK,1670092095
151,sao filipe,14.8961,-24.4956,22.7,63,100,3.13,CV,1670092279
152,godfrey,38.9556,-90.1868,3.32,52,0,4.12,US,1670092280
153,redcar,54.6166,-1.06,6.36,69,100,1.79,GB,1670092281
154,pitimbu,-7.4706,-34.8086,29.33,70,14,5.94,BR,1670092281
155,klaksvik,62.2266,-6.589,6.51,96,100,1.14,FO,1670092015
156,tilichiki,60.4667,166.1,-11.68,88,100,2.77,RU,1670092282
157,viloco,-16.95,-67.55,14.44,33,21,4.02,BO,1670092283
158,kovdor,67.5662,30.4758,-12.69,100,86,0.8,RU,1670092284
159,karur,10.95,78.0833,23.47,92,100,1.52,IN,1670092285
160,yellowknife,62.456,-114.3525,-20.25,77,100,3.09,CA,1670092286
161,sept-iles,50.2001,-66.3821,0.59,98,100,6.17,CA,1670092262
162,kahului,20.8947,-156.47,26.02,76,20,3.13,US,1670092287
163,sitka,57.0531,-135.33,-2.06,86,40,2.57,US,1670092288
164,san quintin,30.4833,-115.95,18.58,56,100,0.93,MX,1670092290
165,longyearbyen,78.2186,15.6401,-1.09,86,75,9.26,SJ,1670092291
166,bethel,41.3712,-73.414,13.2,86,100,0.89,US,1670092292
